,TAWSS,OSI,HOLMES
Node 0,0.0055959152445393305,0.49110416212006214,4.9780354805294724e-05
Node 1,0.011176842352978646,0.16157739696072126,0.0037824960828546903
Node 2,0.011296032622559111,0.14623854246367918,0.00399610096493434
Node 3,0.005165874515787511,0.21233886579387834,0.0014860213223779348
Node 4,0.006911821790146559,0.17065476040905697,0.002276375603485719
Node 5,0.006833856775350206,0.16076693670773484,0.0023182701680026516
Node 6,0.006640542274985651,0.45447148048003494,0.0003023340585898374
Node 7,0.007245057085508266,0.3289680524344783,0.0012391362235578613
Node 8,0.007849900254842133,0.3507013933002777,0.0011719791707797253
Node 9,0.007030907694426163,0.43273201402960837,0.0004729550001477777
Node 10,0.010015576398723138,0.268036678647255,0.0023232463667099837
Node 11,0.010612540485234816,0.20157806566727932,0.003167014859788084
Node 12,0.006919791896810956,0.44649278620034133,0.00037025878447180944
Node 13,0.008089725416495748,0.3419361142084316,0.0012786934343181318
Node 14,0.0069683300985454,0.4337355077064095,0.00046175285611425637
Node 15,0.010932060240219423,0.19173608931756464,0.003369959641466003
Node 16,0.010310109944809636,0.2606247575688434,0.0024679850675306853
Node 17,0.003996755218400242,0.08549337614399483,0.0016566815119579549
Node 18,0.0098835147904371,0.15518859489222325,0.0034079486222941104
Node 19,0.009855547178060163,0.1513684757600205,0.0034359544349061434
Node 20,0.00724085514728622,0.4524068618233,0.00034461501954226266
Node 21,0.009877341369210925,0.32483649444680524,0.0017301497397765784
Node 22,0.006291408400738003,0.4320036042402452,0.00042779309550282726
Node 23,0.007253002460884178,0.45990411207882775,0.00029081557376359847
Node 24,0.00959736646957907,0.3394561562468945,0.0015407981029333959
Node 25,0.004045320212340655,0.10092635205393674,0.0016143806942487285
Node 26,0.010321610961031366,0.14216749757803587,0.0036934078792118276
Node 27,0.007482727872342809,0.4630729429106031,0.00027631511932642446
Node 28,0.008447899908434456,0.3771297216227296,0.0010379958134526586
Node 29,0.003928091455532541,0.08937628723187535,0.001612967497563519
Node 30,0.010557642652742023,0.1360415738474503,0.0038425430037730165
Node 31,0.006533078646265664,0.4339667619095643,0.00043140033771240196
Node 32,0.011160082645935966,0.1365953469538993,0.004055625961912169
Node 33,0.004022696673141974,0.37419897097492,0.0005060593809370262
Node 34,0.003974906015674878,0.304574787537071,0.0007767968526334377
Node 35,0.003984318032960131,0.340167413321812,0.0006368238573565677
Node 36,0.004002494423534905,0.37846653227769994,0.0004864370268313653
Node 37,0.0038933479974827337,0.27254271353310305,0.0008855703707787497
Node 38,0.004173290577529841,0.402590821147471,0.00040651680827017827
Node 39,0.004008948620919663,0.353793703312104,0.0005861335314767117
Node 40,0.0039595660181663845,0.2985659331309414,0.0007975914860757797
Node 41,0.00423991345757779,0.39630020927373155,0.00043967813824830613
Node 42,0.0036812117778947423,0.18338644766282242,0.0011655215379047115
Node 43,0.003803190542225727,0.25101370442453125,0.0009469423244764421
Node 44,0.005235195106243213,0.476537962922142,0.00012282834169249896
Node 45,0.00748827121610385,0.47142557552967,0.00021397304027790553
Node 46,0.00869213404432041,0.361658249855965,0.0012024850361778347
Node 47,0.0036185983069643643,0.21116515830305344,0.001045177269156891
Node 48,0.007655656573403418,0.4760619320980495,0.00018326162688814488
Node 49,0.009356773232120037,0.36157844475352624,0.0012951791028786306
Node 50,0.0037018815972797684,0.12103731193794948,0.0014028750009925782
Node 51,0.0037082804608376627,0.1935728902039272,0.001136317663927734
Node 52,0.004484935730686806,0.34207113542618084,0.0007083008076339193
Node 53,0.004244298016682405,0.432917219869659,0.0002847193106607483
Node 54,0.004194868301556136,0.4114527971625008,0.0003714438543744868
Node 55,0.007807336287240456,0.48210503055859233,0.00013971204427896117
Node 56,0.00772201166253807,0.47521855819613257,0.0001913625826239728
Node 57,0.004244967847670748,0.4458944790521,0.00022967619680531166
